Variety_ID,Accession_ID,accession_holding,parent1,parent1_synonym,parent1_holding,parent2,parent2_holding,Code_ID,Panel_246,genetic_group,type,holding,Holding name
B14a,B14a_H,inrae,B14a_inra,B14a_inra,INRA,UH_007,UH,3258,no,Stiff_Stalk,CrossValidation,,
B37,B37_H,inrae,B37_inra,B37_inra,INRA,UH_007,UH,3085,yes,Other,CrossValidation,,
B73,B73_H,inrae,B73_inra,B73_inra,INRA,UH_007,UH,3001,yes,Stiff_Stalk,CrossValidation,,
B84,B84_H,inrae,B84_inra,B84_inra,INRA,UH_007,UH,3009,yes,Stiff_Stalk,CrossValidation,,
B89,B89_H,inrae,B89_inra,B89_inra,INRA,UH_007,UH,3030,yes,Other,CrossValidation,,
B97,B97_H,inrae,B97_usa,B97_inra,USA,UH_007,UH,3027,yes,Other,CrossValidation,,
B98,B98_H,inrae,B98_uh,B98_uh,UH,UH_007,UH,3079,yes,Other,CrossValidation,,
C103,C103_H,inrae,C103_inra,C103_inra,INRA,UH_007,UH,3106,yes,Other,CrossValidation,,
CO109,CO109_H,inrae,CO109_inra,CO109_inra,INRA,UH_007,UH,3050,yes,Other,CrossValidation,,
CO125,CO125_H,inrae,CO125_inra,CO125_inra,INRA,UH_007,UH,1039,no,,nG_ext,,
CR1Ht,CR1Ht_H,inrae,CR1Ht_usda,CR1Ht_usda,USDA,UH_007,UH,3107,yes,Lancaster,CrossValidation,,
D06,D06_H,inrae,D06_uh,D06_uh,UH,UH_007,UH,1184,no,,nG_ext,,
D09,D09_H,inrae,D09_uh,D09_uh,UH,UH_007,UH,3108,yes,Other,CrossValidation,,
DE811,DE811_H,inrae,DE811_inra,DE811_inra,INRA,UH_007,UH,3109,yes,Stiff_Stalk,CrossValidation,,
DK4676A,DK4676A_H,inrae,DK4676A_usda,DK4676A_usda,USDA,UH_007,UH,3097,yes,Stiff_Stalk,CrossValidation,,
DK78010,DK78010_H,inrae,DK78010_usda,DK78010_usda,USDA,UH_007,UH,3110,yes,Stiff_Stalk,CrossValidation,,
DK78371A,DK78371A_H,inrae,DK78371A_usda,DK78371A_usda,USDA,UH_007,UH,3056,yes,Lancaster,CrossValidation,,
DKFAPW,DKFAPW_H,inrae,DKFAPW_usda,DKFAPW_usda,USDA,UH_007,UH,3111,yes,Stiff_Stalk,CrossValidation,,
DKFBHJ,DKFBHJ_H,inrae,DKFBHJ_usda,DKFBHJ_usda,USDA,UH_007,UH,3081,yes,Stiff_Stalk,CrossValidation,,
DKIBO2,DKIBO2_H,inrae,DKIBO2_usda,DKIBO2_usda,USDA,UH_007,UH,3112,yes,Iodent,CrossValidation,,
DKMBST,DKMBST_H,inrae,DKMBST_usda,DKMBST_usda,USDA,UH_007,UH,3113,yes,Lancaster,CrossValidation,,
EA1027,EA1027_H,inrae,EM1027_inra,EM1027_inra,INRA,UH_007,UH,3120,yes,Other,CrossValidation,,
EA1163,EA1163_H,inrae,EM1163_inra,EM1163_inra,INRA,UH_007,UH,3070,yes,Other,CrossValidation,,
EA3076,EA3076_H,inrae,EA3076_csic,EA3076_csic,CSIC,UH_007,UH,3090,yes,Other,CrossValidation,,
EC130,EC130_H,inrae,EC130_ciam,EC130_ciam,CIAM,UH_007,UH,1001,no,,nG_ext,,
EC133A,EC133A_H,inrae,EC133A_ciam,EC133A_ciam,CIAM,UH_007,UH,1002,no,,nG_ext,,
EC136,EC136_H,inrae,EC136_ciam,EC136_ciam,CIAM,UH_007,UH,3087,yes,Stiff_Stalk,CrossValidation,,
EC140,EC140_H,inrae,EC140_ciam,EC140_ciam,CIAM,UH_007,UH,3114,yes,Stiff_Stalk,CrossValidation,,
EC151,EC151_H,inrae,EC151_ciam,EC151_ciam,CIAM,UH_007,UH,3115,yes,Stiff_Stalk,CrossValidation,,
EC169,EC169_H,inrae,EC169_ciam,EC169_ciam,CIAM,UH_007,UH,3116,yes,Stiff_Stalk,CrossValidation,,
EC175,EC175_H,inrae,EC175_ciam,EC175_ciam,CIAM,UH_007,UH,3117,yes,Stiff_Stalk,CrossValidation,,
EC232,EC232_H,inrae,EC232_ciam,EC232_ciam,CIAM,UH_007,UH,3033,yes,Other,CrossValidation,,
